joint_0,joint_1,joint_2,joint_3,joint_4,joint_5
-0.118706051503317,-0.651243047123291,-0.18869686126709,-2.71179546932363,4.25129318237305,-1.47985726991762
-0.118693653737203,-0.651231126194336,-0.188660621643066,-2.71184315303945,4.25131702423096,-1.47980910936464
-0.118717495595114,-0.651254968052246,-0.188685417175293,-2.71184315303945,4.25132846832275,-1.47984534898867
-0.118729893361227,-0.651243047123291,-0.188660621643066,-2.71184315303945,4.25135278701782,-1.47988158861269
-0.118741337453024,-0.651231126194336,-0.18869686126709,-2.71183123211049,4.25131702423096,-1.47985726991762
-0.118729893361227,-0.651254968052246,-0.188708305358887,-2.71181931118154,4.25134086608887,-1.47988158861269
-0.118753735219137,-0.651231126194336,-0.18869686126709,-2.71180739025258,4.25132846832275,-1.47984534898867
-0.118753735219137,-0.651219205265381,-0.188708305358887,-2.71179546932363,4.25132846832275,-1.47983342805971
-0.118693653737203,-0.651219205265381,-0.18867301940918,-2.71180739025258,4.25131702423096,-1.47982150713076
-0.118729893361227,-0.651243047123291,-0.18867301940918,-2.71177162746572,4.25129318237305,-1.47984534898867
-0.118753735219137,-0.651243047123291,-0.188685417175293,-2.71181931118154,4.25134086608887,-1.47980910936464
-0.118729893361227,-0.651231126194336,-0.18867301940918,-2.71178354839467,4.25132846832275,-1.47983342805971
-0.118789498006002,-0.651207284336426,-0.188637733459473,-2.71180739025258,4.25132846832275,-1.47982150713076
-0.118706051503317,-0.651219205265381,-0.18864917755127,-2.71181931118154,4.25132846832275,-1.47980910936464
-0.118729893361227,-0.651159123783447,-0.18864917755127,-2.71175922969961,4.25134086608887,-1.47984534898867
-0.118765656148092,-0.651183442478516,-0.188612937927246,-2.71178354839467,4.25135278701782,-1.47985726991762
-0.118874375020162,-0.651183442478516,-0.188612937927246,-2.71178354839467,4.25131702423096,-1.47982150713076
-0.119081322346823,-0.651195363407471,-0.188565254211426,-2.71179546932363,4.25130462646484,-1.47986919084658
-0.119202438985006,-0.651135281925537,-0.188551902770996,-2.71178354839467,4.25123310089111,-1.47984534898867
-0.119573418294088,-0.651135281925537,-0.188443183898926,-2.71178354839467,4.25129318237305,-1.47982150713076
-0.119835201893942,-0.651123360996582,-0.188349723815918,-2.71177162746572,4.25125694274902,-1.47985726991762
-0.120052162800924,-0.651123360996582,-0.188338279724121,-2.7117353878417,4.25124502182007,-1.47985726991762
-0.120234791432516,-0.651147202854492,-0.188313484191895,-2.7117353878417,4.25125694274902,-1.47982150713076
-0.120601002370016,-0.651111440067627,-0.188252449035645,-2.7117353878417,4.25124454498291,-1.47984534898867
-0.124247852955953,-0.651087121372559,-0.18813419342041,-2.71169914821767,4.25119686126709,-1.47984534898867
-0.127369228993551,-0.651063279514648,-0.188037872314453,-2.71172346691274,4.25119686126709,-1.47984534898867
-0.129933182393209,-0.651087121372559,-0.187966346740723,-2.71172299007558,4.25117301940918,-1.47988158861269
-0.134413067494528,-0.651099519138672,-0.187967300415039,-2.71172346691274,4.25118541717529,-1.47985726991762
-0.136034790669576,-0.651075200443604,-0.187932014465332,-2.71171154598379,4.25119733810425,-1.47986919084658
-0.146808926259176,-0.651099519138672,-0.187920570373535,-2.71167530635976,4.25124502182007,-1.47985726991762
-0.150655571614401,-0.651063279514648,-0.187968254089355,-2.71174730877065,4.25124502182007,-1.47984534898867
-0.154596153889791,-0.651123360996582,-0.187920570373535,-2.71168770412588,4.25126934051514,-1.47988158861269
-0.179549042378561,-0.651087121372559,-0.187943458557129,-2.7117353878417,4.25123310089111,-1.47988158861269
-0.183755222951071,-0.651075200443604,-0.187943458557129,-2.71166338543081,4.2512092590332,-1.47985726991762
-0.185902420674459,-0.651075200443604,-0.187943458557129,-2.71172346691274,4.25123310089111,-1.47986919084658
-0.190286461506979,-0.651027516727783,-0.187920570373535,-2.71171154598379,4.25119733810425,-1.47983342805971
-0.201798264180319,-0.651087121372559,-0.187943458557129,-2.71169914821767,4.25125694274902,-1.47986919084658
-0.211373631154196,-0.651087121372559,-0.187920570373535,-2.71169914821767,4.25123310089111,-1.4799054304706
-0.218794647847311,-0.651051358585693,-0.187943458557129,-2.7117353878417,4.25122117996216,-1.47985726991762
-0.251818958912985,-0.651075200443604,-0.187943458557129,-2.71168770412588,4.25118541717529,-1.47982150713076
-0.26056939760317,-0.651087121372559,-0.187956809997559,-2.71169914821767,4.25123310089111,-1.47983342805971
