x,y,z,qx,qy,qz,qw,time
0.8327773213386536,0.22245748341083527,0.25893574953079224,-0.08181782981209383,0.9956795399175146,0.025474710871484327,-0.035765005529141435,0.0033621788024902344
0.8327720165252686,0.2225479632616043,0.25898271799087524,-0.08179310133785032,0.9956789290472773,0.02556635149752017,-0.03577318123830422,0.007930517196655273
0.832770824432373,0.22257760167121887,0.25899848341941833,-0.08178587841401214,0.9956786947695804,0.025595996312860535,-0.03577501707540724,0.012283802032470703
0.8327654600143433,0.22260883450508118,0.2590104341506958,-0.08177433461318388,0.99567852139225,0.02563048009875003,-0.035781541702691474,0.016420602798461914
0.8327476382255554,0.22268199920654297,0.25903618335723877,-0.08173948887799122,0.9956782321168611,0.025716916268256153,-0.03580718174135764,0.020580291748046875
0.832738995552063,0.22272491455078125,0.2590521574020386,-0.08171835615900548,0.9956781789897855,0.025767281509727617,-0.03582068332476269,0.024714946746826172
0.8327165246009827,0.22281193733215332,0.2590826451778412,-0.08166991368609193,0.9956781553608661,0.025874178291772267,-0.03585474910545414,0.0289003849029541
0.8327062129974365,0.22285397350788116,0.25909873843193054,-0.08164103526493272,0.9956784513843244,0.0259296223510539,-0.03587223849323121,0.03300738334655762
0.8326846361160278,0.22293317317962646,0.25912806391716003,-0.0815782179881695,0.995679324932474,0.026039900163613225,-0.035910999030333665,0.03721809387207031
0.832672119140625,0.22297833859920502,0.25914493203163147,-0.08154528450132828,0.9956796569368045,0.0261011111659073,-0.03593214902715925,0.04130673408508301
0.8326597213745117,0.22302740812301636,0.25916382670402527,-0.08151218648207695,0.9956799206280394,0.026165683119641434,-0.03595297122539461,0.04613447189331055
0.8326339721679688,0.2231248915195465,0.25920164585113525,-0.08144072371704268,0.9956806659019573,0.026298114274438296,-0.035997628464776894,0.05002427101135254
0.8326208591461182,0.22317126393318176,0.2592200040817261,-0.08140338956481227,0.9956811420742528,0.02636351330704825,-0.036021058440580796,0.054517507553100586
0.8325933218002319,0.2232627123594284,0.2592560946941376,-0.08132333133480514,0.9956823135405285,0.026497392506499795,-0.036071241641326184,0.058776140213012695
0.8325785398483276,0.22330878674983978,0.25927338004112244,-0.0812803731105495,0.9956829879280321,0.026566633791352372,-0.03609851058855724,0.06291437149047852
0.8325456976890564,0.22340956330299377,0.2593100368976593,-0.08119872784089734,0.9956837529705773,0.026710616707054626,-0.03615485614098272,0.06771039962768555
0.8325279355049133,0.22346222400665283,0.2593282163143158,-0.08115771703275322,0.9956840230496018,0.026785275538565266,-0.036184253814539845,0.0714731216430664
0.8325098752975464,0.2235136479139328,0.2593455910682678,-0.08111446256470901,0.9956844064520488,0.026860432377299764,-0.036214967673246085,0.07603979110717773
0.8324758410453796,0.22361089289188385,0.25937920808792114,-0.0810301573718855,0.9956851837642754,0.027005710001242782,-0.03627423405004181,0.0797874927520752
0.8324593901634216,0.22365790605545044,0.25939613580703735,-0.08098820417032915,0.9956855691276018,0.027077695678417574,-0.03630367217040556,0.08435249328613281
0.8324267268180847,0.22375811636447906,0.2594328820705414,-0.08090741338647664,0.9956860167569708,0.027225881386694753,-0.036360663861716117,0.08810114860534668
0.8324118852615356,0.22380715608596802,0.2594524025917053,-0.08087023784515363,0.9956861025078796,0.027297839416804623,-0.03638705630730602,0.0926508903503418
0.8323848247528076,0.2239060252904892,0.25949424505233765,-0.08079816960915832,0.9956861809223438,0.02744137517470294,-0.036437011905584175,0.09640049934387207
0.8323728442192078,0.22395095229148865,0.2595145106315613,-0.08076279732531981,0.9956863103938699,0.027509089855098444,-0.03646082607094008,0.1009664535522461
0.8323611617088318,0.223997563123703,0.2595357894897461,-0.08072931602170906,0.995686292558606,0.027577482688237873,-0.03648378810025962,0.1047053337097168
0.8323509097099304,0.22404275834560394,0.2595570683479309,-0.08069703642026813,0.9956862708937656,0.02764457303928742,-0.03650501127418045,0.10925483703613281
0.8323315978050232,0.22413508594036102,0.2596014738082886,-0.08063508306411865,0.9956860230440782,0.02778001768162934,-0.03654582755279773,0.1129920482635498
0.8323215246200562,0.22418326139450073,0.25962454080581665,-0.08060682707258641,0.9956856553501597,0.027848648526128367,-0.036565939540519836,0.1175386905670166
0.8322990536689758,0.22428129613399506,0.2596704065799713,-0.08056346200076207,0.9956838889873268,0.027983893259698415,-0.03660633168665355,0.12127161026000977
0.8322872519493103,0.22432845830917358,0.25969308614730835,-0.08054679502204953,0.9956826617706911,0.02804819666136427,-0.03662716921838734,0.12584280967712402
0.8322645425796509,0.2244153469800949,0.25973808765411377,-0.08052231480379128,0.9956796874202472,0.028168518412660902,-0.03666948933097289,0.12958002090454102
0.832253634929657,0.2244558334350586,0.2597607672214508,-0.0805152124334052,0.9956779053927671,0.028224093087522686,-0.03669073246559603,0.13413310050964355
0.8322435617446899,0.224492609500885,0.2597832977771759,-0.08051191437466404,0.9956759722149443,0.02827432543486339,-0.03671174905607117,0.13785457611083984
0.8322234153747559,0.22456340491771698,0.2598288953304291,-0.08051668122646494,0.9956713742406479,0.028368233405421328,-0.03675352902063798,0.14240384101867676
0.832213282585144,0.22460123896598816,0.25985363125801086,-0.08052503528007385,0.9956686073108678,0.028415693465806552,-0.03677351592705175,0.14613676071166992
0.8322038054466248,0.22463952004909515,0.2598792612552643,-0.080535622471708,0.9956656760254304,0.028463685859342107,-0.036792576496048716,0.15068697929382324
0.8321856260299683,0.2247180938720703,0.25993287563323975,-0.08056443918004576,0.9956591221250763,0.02856269964734069,-0.03683009445524589,0.1544046401977539
