joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
-0.01265498196223063,-0.43537784271796576,-0.003867189509995377,-1.5768239724467223,0.0017661871582861381,1.1337947414419474,0.00011954261829069111
-0.012656599882447227,-0.43536603829265297,-0.0038694665101707605,-1.5768239724467223,0.0017660913397102038,1.1337950410931634,0.00011864377372591404
-0.012657738382534919,-0.4353602857965215,-0.003870964548084363,-1.5768241522156354,0.001765995346601344,1.1337953406352963,0.0001181644626800851
-0.012663490769583336,-0.4353538742204312,-0.0038753387795221737,-1.576829425291638,0.0017682963886871733,1.1337939025930757,0.00011804458037708874
-0.012690814771687934,-0.4353409312950307,-0.0038888210116615166,-1.5768480607174769,0.001769446909730088,1.1337940223662957,0.00011756526933125979
-0.012705914924043875,-0.43533601775685404,-0.0038904988184880747,-1.5768533337934794,0.0017682963886871733,1.1337942021352085,0.00011744538702826343
-0.0127232920765752,-0.4353315236431132,-0.0038900195074422455,-1.576862322020961,0.001768584018947902,1.1337937228241628,0.0001171458448953899
-0.012744024733676564,-0.43532672998723954,-0.0038897198562262937,-1.5768758641397103,0.001770501437664143,1.1337934231729467,0.00011696607598243449
-0.012767753575688209,-0.43532121725571404,-0.0038910381252269407,-1.5768914437121953,0.0017703096259793487,1.1337933032906438,0.00011696607598243449
-0.01279483792226989,-0.4353161838352344,-0.003893614776618276,-1.5769084612178175,0.0017680087584264446,1.133793123521731,0.00011678630706947907
-0.012860930923049038,-0.4353080345657076,-0.0039021235839709826,-1.5769465111408403,0.0017689674677845652,1.133792704097295,0.00011666642476648271
-0.012897902232594034,-0.43530419964100864,-0.0039061981641928417,-1.5769676034448505,0.001768584018947902,1.1337922846728592,0.00011654654246348635
-0.012936311693442674,-0.43530132344748446,-0.003910212857804742,-1.576991811597908,0.0017684880258390424,1.1337922846728592,0.00011636677355053094
-0.012977896889948394,-0.4352989865606991,-0.0039153061648943745,-1.5770187760621868,0.0017686798375238365,1.1337919251350332,0.00011624700033061282
-0.013024275851410874,-0.43529652979161076,-0.003922077278810564,-1.5770469390222461,0.001770501437664143,1.1337916255929004,0.0001160672314176574
-0.013073710775310518,-0.4352939531402194,-0.003930106666034364,-1.5770764201422232,0.0017723230378044494,1.1337913858282944,0.00011576758020170563
-0.013181868392724293,-0.4352905975265663,-0.003947124280739778,-1.5771418540630435,0.0017756786078243338,1.1337906068660326,0.00011534815576583574
-0.013237834775017214,-0.4352893392532587,-0.00395503389474366,-1.5771767880279361,0.0017787465475834893,1.1337904870928126,0.00011516838685288033
-0.013294819775094828,-0.43528766144643216,-0.00396306328196746,-1.5772127407196963,0.0017809517710933843,1.1337900076726837,0.0001148688447200068
-0.013352703510654143,-0.4352856839883896,-0.0039718717405361195,-1.577251449722678,0.0017832526386462883,1.1337897080214678,0.0001148688447200068
-0.013410827010819448,-0.435284185950476,-0.003982178127935302,-1.5772924957215277,0.001786128941253575,1.133789408479335,0.00011456919350405502
