joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
-0.009789314082408688,-0.43599377191990535,-0.0026905184170642406,-1.574226511603799,0.0017929358998692781,1.1334729051277075,-0.000255863195763882
-0.009789254195798729,-0.4359938918022084,-0.002689679568192501,-1.5742254329903214,0.0017935111603907354,1.1334729051277075,-0.000255863195763882
-0.009789254195798729,-0.43599377191990535,-0.0026892001480635936,-1.5742245941414497,0.0017941822394881273,1.1334730249009273,-0.0002557433134608856
-0.009792609809451845,-0.4359937120332954,-0.0026905184170642406,-1.5742270509105378,0.0017972501792472828,1.133470148707403,-0.00025634261589278914
-0.009802736427938073,-0.43599377191990535,-0.0026938740307173564,-1.5742315449151956,0.0018165208831173278,1.1334698490561872,-0.00025664215802566266
-0.009807110659375883,-0.43599377191990535,-0.0026941735728502297,-1.5742322639908475,0.0018301349748816593,1.1334700888207931,-0.0002562227335897928
-0.009813881773292074,-0.43599377191990535,-0.002696091035199702,-1.5742346608733258,0.0018460499341988947,1.1334694896274444,-0.00025664215802566266
-0.009822750118470691,-0.43599377191990535,-0.0026989673378069886,-1.574238016377896,0.0018679093104154976,1.1334689503207054,-0.0002565223848057446
-0.009833475930305745,-0.43599377191990535,-0.002701244337982372,-1.5742416116470719,0.0018957125799326925,1.1334678118206178,-0.0002568219269386181
-0.009847018158138125,-0.43599377191990535,-0.002702262955767067,-1.5742447874918122,0.0019273510359482198,1.1334661939004012,-0.0002569418092416145
-0.009864095659453499,-0.43599377191990535,-0.002702203069157108,-1.5742481431054651,0.0019620572571899773,1.1334640367825288,-0.00025664215802566266
-0.009907298776175818,-0.43599377191990535,-0.002701244337982372,-1.5742560527194691,0.002039810977234624,1.1334593030132651,-0.0002569418092416145
-0.009933364504972805,-0.43599377191990535,-0.0027016037667252045,-1.5742606666064298,0.0020843922713841656,1.1334567263618738,-0.0002574211202874434
-0.009962605969426875,-0.43599377191990535,-0.0027019034179411564,-1.5742647412957347,0.0021310827959347424,1.1334535505171335,-0.00025712157815456987
-0.009995442812140053,-0.43599365214668545,-0.002702262955767067,-1.5742682765692178,0.002180170181147083,1.1334497754790447,-0.000257241351374488
-0.010030916083771447,-0.43599377191990535,-0.002702682380202937,-1.5742713325316549,0.002231270978184524,1.1334462402055616,-0.00025754100259043976
-0.01006914577570713,-0.43599365214668545,-0.002703161800331844,-1.574273969069656,0.0022802623702880046,1.1334419258607338,-0.0002574211202874434
-0.010150578584365135,-0.4359937120332954,-0.002704060535813543,-1.5742785830657,0.0024037479055251075,1.1334323384399032,-0.000257241351374488
-0.010194440890129317,-0.43599365214668545,-0.002705019376071357,-1.574282118339183,0.002484665383904844,1.1334284436285944,-0.00025754100259043976
