joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
-0.009811733419825427,-0.43641329983175453,-0.003327906975748795,-1.5747230546839066,0.001318167874073121,1.133543979339746,-0.00019060386164737977
-0.009812448949117872,-0.43641284166478517,-0.003336921285597301,-1.574726547805931,0.0013059435766318336,1.1335449671795514,-0.00019055232704955234
-0.009815297757026503,-0.43641256303089904,-0.003346131600995576,-1.5747314095719216,0.001299788616426478,1.1335454666049658,-0.00019058605175462442
-0.009820476955281598,-0.4364124277454049,-0.0033555732626618694,-1.574737652990188,0.0012990272052120224,1.133545549174948,-0.0001906812597250301
-0.009828441501214749,-0.4364124008892656,-0.0033653372598761735,-1.5747453839448047,0.0013032388564428706,1.1335452788721623,-0.00019081610909273662
-0.009838278545938365,-0.4364124406135799,-0.003375228836246735,-1.5747542207909904,0.0013106378878360012,1.1335447605499067,-0.00019095802546471833
-0.009850968286344953,-0.436412504713498,-0.003385840507901821,-1.5747646664697077,0.0013208756267511835,1.133544075542663,-0.00019106816280371741
-0.009869561495637193,-0.4364125637027702,-0.0033969393293305766,-1.5747771982009007,0.001337027369229567,1.1335432740061484,-0.00019114682269924066
-0.009893599587037229,-0.43641259885517936,-0.0034085615485130744,-1.5747921099273432,0.0013567546433197637,1.1335421998206399,-0.0001912195556964596
-0.009921296963415524,-0.43641262340597536,-0.0034202040014183733,-1.5748083305538807,0.001379662448323865,1.133540742527783,-0.00019131754083749283
-0.009954676242000504,-0.43641264867687846,-0.0034323187741175836,-1.574826380651851,0.0014064420995753939,1.1335390031307537,-0.00019140362345495008
-0.00999167766499226,-0.43641266269178636,-0.003445039223901909,-1.5748459673931936,0.0014320098100356693,1.1335372382398408,-0.00019150613134779566
-0.010033737800086873,-0.4364126715587107,-0.0034574439829725854,-1.5748656735477866,0.001460779502981102,1.1335350119342413,-0.00019157860571147116
-0.010081436014131619,-0.43641268703978137,-0.003470721503605236,-1.5748866689794927,0.001493745782616831,1.1335324397799045,-0.000191680963087831
-0.01013145750324763,-0.4364126955793315,-0.003483684011742551,-1.5749071297963206,0.0015302523730965573,1.1335297078689572,-0.00019176224094156574
-0.010180592312222717,-0.43641268627414814,-0.0034951311025573756,-1.574925294257537,0.0015694656365337087,1.1335268040574153,-0.00019180620750128423
-0.010235916624150174,-0.43641266662935807,-0.003509198348776094,-1.5749469951984665,0.001612645938410453,1.1335237182113356,-0.00019185303557553015
-0.0102916861267992,-0.4364126097335445,-0.00352442153429811,-1.5749698017988716,0.0016558267528999214,1.1335207783757195,-0.00019192077652053333
-0.010349954140748054,-0.4364125047501537,-0.0035407668600642337,-1.5749935114558646,0.0017064466558078552,1.1335166855586407,-0.00019195162579063786
-0.010409954318030042,-0.4364123573053336,-0.0035591955725569656,-1.5750193668872676,0.0017611651063127803,1.1335115401756857,-0.0001919961539960026
-0.010468749164781972,-0.4364121724926091,-0.003578935045715662,-1.5750460881972452,0.0018160245308697991,1.1335054303726628,-0.00019205419912083328
-0.010528863827173631,-0.4364119727238693,-0.0036002324998833514,-1.5750741592191022,0.001874329774222195,1.1334975236687241,-0.00019207151450220054
-0.010589376831396201,-0.43641176678117977,-0.00362341030956937,-1.5751046977737946,0.001931208890620337,1.1334889342578418,-0.0001920943403731511
-0.010650785923413017,-0.4364115808674747,-0.0036474473787645478,-1.5751367664957496,0.0019925725388242944,1.1334779883432804,-0.00019209163519313241
-0.010711671345888409,-0.4364114336109592,-0.003671137452296437,-1.5751688336879521,0.002058996900989903,1.1334644844962847,-0.00019209901519717166
-0.01077473131963443,-0.43641133202994875,-0.0036968247839068787,-1.5752036289011566,0.0021271047515827317,1.1334495140703866,-0.00019211830627469256
-0.01083410444539079,-0.4364112960347214,-0.0037211030435181144,-1.5752364745625027,0.002193513068536284,1.1334341541256987,-0.000192104622698325
-0.010897994510633027,-0.4364112647355514,-0.003748272007184738,-1.5752722735477502,0.0022676346045032735,1.1334179882602526,-0.00019211560910525227
-0.010960146877042495,-0.4364112559972757,-0.003776607769217873,-1.5753088821927839,0.0023403372018127844,1.1334029598247228,-0.0001921599550076912
-0.011022884099415022,-0.4364112587085396,-0.0038061534823805943,-1.5753448132260206,0.0024245751475172428,1.1333862026983588,-0.00019219952040426156
-0.011084993902981477,-0.43641126454755097,-0.00383731030274159,-1.5753805109353392,0.0025156477304175127,1.1333687457043042,-0.00019222343554096795
-0.011145245747465535,-0.4364112851707328,-0.0038697174668411503,-1.5754162187596064,0.0026075427084837235,1.1333513001423936,-0.00019225983767277751
-0.01120395480096139,-0.4364113186960636,-0.0039030003310085355,-1.5754510337189034,0.0027050944127895256,1.1333322870617542,-0.00019231904908251769
-0.011262560345298208,-0.4364113309169627,-0.0039391744747731584,-1.5754879530815615,0.0028054325064287857,1.1333126722700324,-0.00019238710137129536
-0.01131875491358645,-0.4364112877302687,-0.003977095458466477,-1.5755250229858493,0.0029093066080284873,1.1332921976371872,-0.00019248827419174493
-0.011371796897494589,-0.43641119580384047,-0.004015600240442744,-1.5755607045382212,0.0030203006921776594,1.1332700643720683,-0.00019255980463511727
-0.011424291582513388,-0.43641106869096336,-0.004057466622992597,-1.5755992353824562,0.003135237720478457,1.1332474172974416,-0.00019266221661856322
-0.011471457742421774,-0.43641088254373495,-0.004098145371069204,-1.5756360851357942,0.0032450117161730956,1.1332250146358995,-0.00019279213068330465
-0.011520392581185562,-0.4364106712865804,-0.004142341650566545,-1.5756754123526688,0.0033684685958547673,1.1331999857281145,-0.00019287490775902032
